,weekday,minutes_since_midnight,apparent_temperature (°C),precipitation (mm),cloud_cover (%),shap weekday,shap minutes_since_midnight,shap apparent_temperature,shap precipitation,shap cloud_cover
4458,4.0,436.0,16.364445,0.6104444,100.0,4.263264331857371,29.90478498313824,-1.0653652945756926,0.1135784008503018,16.190659878591696
4459,1.0,843.0,7.24675,0.0,34.116943,0.5593692146936764,44.870419763247156,0.9276651131311926,-0.08651845502853739,-1.2140881042480434
4460,4.0,622.0,6.31775,0.0,73.88472,1.4439581631819358,50.16201226027808,1.3876872314214763,-0.4586209315856311,-1.2653290840784703
4461,1.0,1098.0,8.039111,0.0,16.52,4.998716382145869,47.053057450612386,1.269155363102752,0.18178823049863313,-13.849937887728213
4462,3.0,724.0,17.140833,0.28366667,84.71333,-4.275174038171794,42.24404082361856,-1.5987476082245524,0.19069462283451832,-2.3543843590815814
4463,4.0,247.0,7.1675,0.0,44.775,-1.1617976284225726,-64.02896869442861,0.7362924653093028,-0.04839851888021052,-0.5396100402077066
4464,2.0,724.0,3.8697221,0.0,43.836666,-3.797966702938087,47.048624360005064,2.784864250063899,-0.12602942651510585,-1.2030782984296446
4465,4.0,974.0,11.1322775,3.2322223,82.58,-2.648874743103981,62.617482785165315,-1.9121211127638915,4.591339085777605,4.644090791622798
4466,0.0,1434.0,13.681833,0.48183334,100.0,7.4907168573339735,-57.67893344564239,1.6583903188208713,-0.7329704569578168,4.302951143006483
4467,3.0,793.0,7.364333,0.0,72.59805,-2.5723088603814386,42.234226708451914,0.9404427669843005,-0.3664291222492908,0.09848104143142544
4468,3.0,1399.0,-0.25902778,0.46361113,49.997223,-1.0836264925400627,-58.212562678774205,-2.473339012185729,-0.4475458662907297,-0.9837283169428508
4469,5.0,682.0,12.6189165,0.038083334,100.0,2.5826591334938964,60.056028744399526,1.4504932230909509,-0.18821477470795012,8.108250895460444
4470,0.0,922.0,10.487083,2.001111,98.75278,2.5543178306420575,49.27345142010847,-0.30591096963485853,2.3384616044561017,3.920595334211982
4471,3.0,519.0,17.928667,0.0,55.366665,6.254943407873293,32.44629259139301,-2.9379090534647365,-0.07597912549973129,1.4445042891303728
4472,3.0,97.0,13.31225,0.0,13.476666,-0.18278525213398922,-64.84003709197043,0.11248525410890542,0.04150264481702903,-2.490005822479727
4473,5.0,26.0,4.113111,0.0,96.60667,-1.0696065529584864,-68.85403550410273,0.261535839597379,-0.18084999227524223,2.5778714257081354
